t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
45.695,90,92,16.200000762939453,1.9,0,0.2
45.715,90,92,-3.799999952316284,1.9,0,0.2
45.735,90,92,-3.799999952316284,1.9,0,0.2
45.755,90,92,-3.799999952316284,1.9,0,0.2
45.775,90,92.5,-4.75,1.9,0,0.2
45.795,90,92.5,-4.75,1.9,0,0.2
45.815,90,92,-3.799999952316284,1.9,0,0.2
45.835,90,92,-3.799999952316284,1.9,0,0.2
45.855,90,92,-3.799999952316284,1.9,0,0.2
45.875,90,92.5,-24.75,1.9,0,0.2
45.895,90,92.5,-4.75,1.9,0,0.2
45.915,90,92.5,-4.75,1.9,0,0.2
45.935,90,93,-25.700000762939453,1.9,0,0.2
45.955,90,93,-5.699999809265137,1.9,0,0.2
45.975,90,93,-5.699999809265137,1.9,0,0.2
45.995,90,93,-5.699999809265137,1.9,0,0.2
46.015,90,93,-5.699999809265137,1.9,0,0.2
46.035,90,92.5,-4.75,1.9,0,0.2
46.055,90,92,-3.799999952316284,1.9,0,0.2
46.075,90,92,-3.799999952316284,1.9,0,0.2
46.095,90,92,-3.799999952316284,1.9,0,0.2
46.115,90,92,-3.799999952316284,1.9,0,0.2
46.135,90,92,-3.799999952316284,1.9,0,0.2
46.155,90,92,-3.799999952316284,1.9,0,0.2
46.175,90,92,-3.799999952316284,1.9,0,0.2
46.195,90,93,-25.700000762939453,1.9,0,0.2
46.215,90,93,-5.699999809265137,1.9,0,0.2
46.235,90,93.5,-6.650000095367432,1.9,0,0.2
46.255,90,93,-5.699999809265137,1.9,0,0.2
46.275,90,93,-5.699999809265137,1.9,0,0.2
46.295,90,92.5,-4.75,1.9,0,0.2
46.315,90,92.5,-4.75,1.9,0,0.2
46.335,90,92.5,-4.75,1.9,0,0.2
46.355,90,93,-5.699999809265137,1.9,0,0.2
46.375,90,92.5,-4.75,1.9,0,0.2
46.395,90,92,-3.799999952316284,1.9,0,0.2
46.415,90,92,-3.799999952316284,1.9,0,0.2
46.435,90,92,-3.799999952316284,1.9,0,0.2
46.455,90,92,-3.799999952316284,1.9,0,0.2
46.475,90,92.5,-24.75,1.9,0,0.2
46.495,90,93,-5.699999809265137,1.9,0,0.2
46.515,90,93.5,-6.650000095367432,1.9,0,0.2
46.535,90,93.5,-6.650000095367432,1.9,0,0.2
46.555,90,93.5,-6.650000095367432,1.9,0,0.2
46.575,90,93.5,-6.650000095367432,1.9,0,0.2
46.595,90,93.5,-6.650000095367432,1.9,0,0.2
46.615,90,93.5,-6.650000095367432,1.9,0,0.2
46.635,90,93.5,-6.650000095367432,1.9,0,0.2
46.655,90,93.5,-6.650000095367432,1.9,0,0.2
