t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
172.835,0,-10,0.0906515121459961,1.25,0.4,0.4
172.855,0,-10,0.17065048217773438,1.25,0.4,0.4
172.875,0,-10.5,40.87664794921875,1.25,0.4,0.4
172.895,0,-10.5,0.9606485366821289,1.25,0.4,0.4
172.915,0,-10,0.41664791107177734,1.25,0.4,0.4
172.935,0,-10,0.4966468811035156,1.25,0.4,0.4
172.955,0,-10,0.5766458511352539,1.25,0.4,0.4
172.975,0,-9,-40.597354888916016,1.25,0.4,0.4
172.995,0,-9,-0.5253543853759766,1.25,0.4,0.4
173.015,0,-9,-0.4533538818359375,1.25,0.4,0.4
173.035,0,-9,-0.38135433197021484,1.25,0.4,0.4
173.055,0,-9,-0.3093538284301758,1.25,0.4,0.4
173.075,0,-8.5,-0.8663549423217773,1.25,0.4,0.4
173.095,0,-8.5,-0.7983551025390625,1.25,0.4,0.4
173.115,0,-8.5,-0.7303562164306641,1.25,0.4,0.4
173.135,0,-8.5,-0.6623563766479492,1.25,0.4,0.4
173.155,0,-8,-1.2213563919067383,1.25,0.4,0.4
173.175,0,-8,-1.1573553085327148,1.25,0.4,0.4
173.195,0,-8.5,-0.46435546875,1.25,0.4,0.4
173.215,0,-8,-1.0243549346923828,1.25,0.4,0.4
173.235,0,-8,-0.960352897644043,1.25,0.4,0.4
173.255,0,-8,-0.8963518142700195,1.25,0.4,0.4
173.275,0,-8,-0.8323507308959961,1.25,0.4,0.4
173.295,0,-8,-0.7683486938476562,1.25,0.4,0.4
173.315,0,-8,-0.7043476104736328,1.25,0.4,0.4
173.335,0,-8,-0.640345573425293,1.25,0.4,0.4
173.355,0,-7,-1.8333463668823242,1.25,0.4,0.4
173.375,0,-6.5,-2.4063472747802734,1.25,0.4,0.4
173.395,0,-7,38.27165222167969,1.25,0.4,0.4
173.415,0,-7,-1.6723480224609375,1.25,0.4,0.4
173.435,0,-8,-0.35834693908691406,1.25,0.4,0.4
173.455,0,-8,-0.2943449020385742,1.25,0.4,0.4
173.475,0,-7,-1.4863452911376953,1.25,0.4,0.4
173.495,0,-6.5,-2.057345390319824,1.25,0.4,0.4
173.515,0,-6,-2.00534725189209,1.25,0.4,0.4
173.535,0,-6,-2.582345962524414,1.25,0.4,0.4
173.555,0,-6,-2.5343446731567383,1.25,0.4,0.4
173.575,0,-6,-2.4863433837890625,1.25,0.4,0.4
173.595,0,-6,-2.4383420944213867,1.25,0.4,0.4
173.615,0,-5,-3.6443424224853516,1.25,0.4,0.4
173.635,0,-5,-3.604342460632324,1.25,0.4,0.4
173.655,0,-5,-3.5643434524536133,1.25,0.4,0.4
173.675,0,-5,-3.5243444442749023,1.25,0.4,0.4
173.695,0,-4.5,-4.113345146179199,1.25,0.4,0.4
173.715,0,-4,-4.705345153808594,1.25,0.4,0.4
173.735,0,-4,-4.672345161437988,1.25,0.4,0.4
173.755,0,-4.5,-4.012346267700195,1.25,0.4,0.4
173.775,0,-4.5,-3.9763479232788086,1.25,0.4,0.4
173.795,0,-5,-3.3113479614257812,1.25,0.4,0.4
173.815,0,-5,-3.2713489532470703,1.25,0.4,0.4
173.835,0,-5,-3.231348991394043,1.25,0.4,0.4
173.855,0,-5,-3.191349983215332,1.25,0.4,0.4
173.875,0,-5,-3.151350975036621,1.25,0.4,0.4
173.895,0,-5,-3.1113510131835938,1.25,0.4,0.4
173.915,0,-5,-3.071352005004883,1.25,0.4,0.4
173.935,0,-5,-3.0313520431518555,1.25,0.4,0.4
173.955,0,-6,-1.7353515625,1.25,0.4,0.4
173.975,0,-5.5,-42.313350677490234,1.25,0.4,0.4
173.995,0,-5,-2.8983516693115234,1.25,0.4,0.4
174.015,0,-5,-2.858351707458496,1.25,0.4,0.4
174.035,0,-5,-2.818352699279785,1.25,0.4,0.4
174.055,0,-4.5,-3.4063539505004883,1.25,0.4,0.4
174.075,0,-4.5,-3.3703556060791016,1.25,0.4,0.4
174.095,0,-4,-3.96335506439209,1.25,0.4,0.4
174.115,0,-4.5,36.694644927978516,1.25,0.4,0.4
174.135,0,-4.5,-3.2693557739257812,1.25,0.4,0.4
174.155,0,-4.5,-3.2333574295043945,1.25,0.4,0.4
174.175,0,-4,-3.8243579864501953,1.25,0.4,0.4
174.195,0,-4,-3.7923574447631836,1.25,0.4,0.4
174.215,0,-4,-3.7603559494018555,1.25,0.4,0.4
174.235,0,-3.5,-4.355356216430664,1.25,0.4,0.4
174.255,0,-4,-3.7003555297851562,1.25,0.4,0.4
174.275,0,-4,-3.6683549880981445,1.25,0.4,0.4
174.295,0,-4,-3.636354446411133,1.25,0.4,0.4
174.315,0,-4,-3.604353904724121,1.25,0.4,0.4
174.335,0,-3,-44,1.25,0.4,0.4
174.355,0,-3.5,35.823646545410156,1.25,0.4,0.4
174.375,0,-4,-3.5193538665771484,1.25,0.4,0.4
174.395,0,-4,-3.4873533248901367,1.25,0.4,0.4
174.415,0,-4,-3.4553518295288086,1.25,0.4,0.4
174.435,0,-4,-3.423351287841797,1.25,0.4,0.4
174.455,0,-3,-44,1.25,0.4,0.4
174.475,0,-3,-4.620352745056152,1.25,0.4,0.4
174.495,0,-3,-4.596353530883789,1.25,0.4,0.4
174.515,0,-3,-4.572354316711426,1.25,0.4,0.4
174.535,0,-3,-4.5483551025390625,1.25,0.4,0.4
174.555,0,-3,-4.524355888366699,1.25,0.4,0.4
174.575,0,-3,-4.500357627868652,1.25,0.4,0.4
174.595,0,-3,-4.476358413696289,1.25,0.4,0.4
174.615,0,-3,-4.452359199523926,1.25,0.4,0.4
174.635,0,-2.5,-44,1.25,0.4,0.4
174.655,0,-2.5,-5.034358024597168,1.25,0.4,0.4
174.675,0,-3,35.61164093017578,1.25,0.4,0.4
174.695,0,-3,-4.364358901977539,1.25,0.4,0.4
174.715,0,-3,-4.340359687805176,1.25,0.4,0.4
174.735,0,-3,-4.3163604736328125,1.25,0.4,0.4
174.755,0,-3,-4.292361259460449,1.25,0.4,0.4
174.775,0,-3.5,36.357635498046875,1.25,0.4,0.4
174.795,0,-3,-4.242362976074219,1.25,0.4,0.4
174.815,0,-3,-4.218364238739014,1.25,0.4,0.4
174.835,0,-3,-4.19436502456665,1.25,0.4,0.4
174.855,0,-2.5,-4.799363613128662,1.25,0.4,0.4
174.875,0,-2.5,-4.779362678527832,1.25,0.4,0.4
174.895,0,-2.5,-4.759361267089844,1.25,0.4,0.4
174.915,0,-2,-44,1.25,0.4,0.4
174.935,0,-2,-5.34935998916626,1.25,0.4,0.4
174.955,0,-2,-5.333359718322754,1.25,0.4,0.4
174.975,0,-1,-6.573360443115234,1.25,0.4,0.4
174.995,0,-1,-6.565361976623535,1.25,0.4,0.4
175.015,0,-1,-6.557363033294678,1.25,0.4,0.4
175.035,0,-1,-6.5493645668029785,1.25,0.4,0.4
175.055,0,-1,-6.541366100311279,1.25,0.4,0.4
175.075,0,-2,-5.276365756988525,1.25,0.4,0.4
175.095,0,-2,-5.2603654861450195,1.25,0.4,0.4
175.115,0,-2.5,-4.617364406585693,1.25,0.4,0.4
175.135,0,-2.5,-4.597363471984863,1.25,0.4,0.4
175.155,0,-3,-3.9493637084960938,1.25,0.4,0.4
175.175,0,-3,-3.9253649711608887,1.25,0.4,0.4
175.195,0,-2.5,-4.528364658355713,1.25,0.4,0.4
175.215,0,-2.5,-4.508363246917725,1.25,0.4,0.4
175.235,0,-2.5,-4.4883623123168945,1.25,0.4,0.4
175.255,0,-2,-5.0963616371154785,1.25,0.4,0.4
175.275,0,-2,-5.080361366271973,1.25,0.4,0.4
175.295,0,-2,-5.064361095428467,1.25,0.4,0.4
175.315,0,-1,-6.304361820220947,1.25,0.4,0.4
175.335,0,-2,34.95663833618164,1.25,0.4,0.4
175.355,0,-2.5,35.598636627197266,1.25,0.4,0.4
175.375,0,-3,-3.754361629486084,1.25,0.4,0.4
175.395,0,-4,-2.4753618240356445,1.25,0.4,0.4
175.415,0,-4,-2.4433608055114746,1.25,0.4,0.4
175.435,0,-3,-43.66436004638672,1.25,0.4,0.4
175.455,0,-3,-3.640361785888672,1.25,0.4,0.4
175.475,0,-3,-3.616363048553467,1.25,0.4,0.4
175.495,0,-3,-3.5923638343811035,1.25,0.4,0.4
175.515,0,-3,-3.5683646202087402,1.25,0.4,0.4
175.535,0,-3,-3.544365882873535,1.25,0.4,0.4
175.555,0,-3,-3.520366668701172,1.25,0.4,0.4
175.575,0,-3,-3.496367931365967,1.25,0.4,0.4
175.595,0,-2.5,-4.1013665199279785,1.25,0.4,0.4
175.615,0,-3,-3.4543662071228027,1.25,0.4,0.4
175.635,0,-3,-3.4303674697875977,1.25,0.4,0.4
175.655,0,-2.5,-44,1.25,0.4,0.4
175.675,0,-3,36.61463165283203,1.25,0.4,0.4
175.695,0,-3,-3.3613686561584473,1.25,0.4,0.4
175.715,0,-3,-3.337369441986084,1.25,0.4,0.4
175.735,0,-3,-3.313370704650879,1.25,0.4,0.4
175.755,0,-3,-3.2893714904785156,1.25,0.4,0.4
175.775,0,-3,-3.2653727531433105,1.25,0.4,0.4
175.795,0,-3,-3.2413735389709473,1.25,0.4,0.4
175.815,0,-3,-3.217374324798584,1.25,0.4,0.4
175.835,0,-3,-3.193375587463379,1.25,0.4,0.4
175.855,0,-3,-3.1693763732910156,1.25,0.4,0.4
175.875,0,-3,-3.1453776359558105,1.25,0.4,0.4
175.895,0,-3,-3.1213784217834473,1.25,0.4,0.4
175.915,0,-2.5,-43.7233772277832,1.25,0.4,0.4
175.935,0,-2.5,-3.7033777236938477,1.25,0.4,0.4
175.955,0,-2.5,-3.6833763122558594,1.25,0.4,0.4
175.975,0,-2.5,-3.6633753776550293,1.25,0.4,0.4
175.995,0,-2.5,-3.644374370574951,1.25,0.4,0.4
176.015,0,-2,-4.253373622894287,1.25,0.4,0.4
176.035,0,-2.5,-3.609372615814209,1.25,0.4,0.4
176.055,0,-2.5,-3.589371681213379,1.25,0.4,0.4
176.075,0,-2.5,-3.5693702697753906,1.25,0.4,0.4
176.095,0,-3,-2.9203715324401855,1.25,0.4,0.4
176.115,0,-3,-2.8963723182678223,1.25,0.4,0.4
176.135,0,-4,-1.6163721084594727,1.25,0.4,0.4
176.155,0,-3.5,-42.21037292480469,1.25,0.4,0.4
176.175,0,-3,-2.8113722801208496,1.25,0.4,0.4
176.195,0,-3,-2.7873735427856445,1.25,0.4,0.4
176.215,0,-4,-1.5083732604980469,1.25,0.4,0.4
176.235,0,-3.5,-42.10237121582031,1.25,0.4,0.4
