t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
88.875,90,93.5,13.350000381469727,1.9,0,0.2
88.895,90,93.5,-6.650000095367432,1.9,0,0.2
88.915,90,93.5,-6.650000095367432,1.9,0,0.2
88.935,90,93,-5.699999809265137,1.9,0,0.2
88.955,90,93,-5.699999809265137,1.9,0,0.2
88.975,90,93,-5.699999809265137,1.9,0,0.2
88.995,90,93,-5.699999809265137,1.9,0,0.2
89.015,90,93,-5.699999809265137,1.9,0,0.2
89.035,90,92.5,15.25,1.9,0,0.2
89.055,90,92,-3.799999952316284,1.9,0,0.2
89.075,90,92.5,-4.75,1.9,0,0.2
89.095,90,93,-25.700000762939453,1.9,0,0.2
89.115,90,93,-5.699999809265137,1.9,0,0.2
89.135,90,93,-5.699999809265137,1.9,0,0.2
89.155,90,93,-5.699999809265137,1.9,0,0.2
89.175,90,93,-5.699999809265137,1.9,0,0.2
89.195,90,93.5,-6.650000095367432,1.9,0,0.2
89.215,90,93.5,-6.650000095367432,1.9,0,0.2
89.235,90,93.5,-6.650000095367432,1.9,0,0.2
89.255,90,93,14.300000190734863,1.9,0,0.2
89.275,90,92.5,15.25,1.9,0,0.2
89.295,90,92.5,-4.75,1.9,0,0.2
89.315,90,92.5,-4.75,1.9,0,0.2
89.335,90,92.5,-4.75,1.9,0,0.2
89.355,90,92.5,-4.75,1.9,0,0.2
89.375,90,92,16.200000762939453,1.9,0,0.2
89.395,90,92,-3.799999952316284,1.9,0,0.2
89.415,90,92.5,-24.75,1.9,0,0.2
89.435,90,93,-25.700000762939453,1.9,0,0.2
89.455,90,93,-5.699999809265137,1.9,0,0.2
89.475,90,93.5,-6.650000095367432,1.9,0,0.2
89.495,90,93.5,-6.650000095367432,1.9,0,0.2
89.515,90,94,-7.599999904632568,1.9,0,0.2
89.535,90,94,-7.599999904632568,1.9,0,0.2
89.555,90,94.5,-8.550000190734863,1.9,0,0.2
89.575,90,94.5,-8.550000190734863,1.9,0,0.2
89.595,90,95,-29.5,1.9,0,0.2
89.615,90,94.5,-8.550000190734863,1.9,0,0.2
89.635,90,94,-7.599999904632568,1.9,0,0.2
89.655,90,94,-7.599999904632568,1.9,0,0.2
89.675,90,93.5,-6.650000095367432,1.9,0,0.2
89.695,90,93.5,-6.650000095367432,1.9,0,0.2
89.715,90,93.5,-6.650000095367432,1.9,0,0.2
89.735,90,93.5,-6.650000095367432,1.9,0,0.2
89.755,90,93.5,-6.650000095367432,1.9,0,0.2
89.775,90,93.5,-6.650000095367432,1.9,0,0.2
89.795,90,93.5,-6.650000095367432,1.9,0,0.2
89.815,90,94,-7.599999904632568,1.9,0,0.2
89.835,90,94,-7.599999904632568,1.9,0,0.2
89.855,90,94,-7.599999904632568,1.9,0,0.2
89.875,90,94,-7.599999904632568,1.9,0,0.2
89.895,90,94,-7.599999904632568,1.9,0,0.2
89.915,90,94,-7.599999904632568,1.9,0,0.2
89.935,90,94,-7.599999904632568,1.9,0,0.2
89.955,90,94,-7.599999904632568,1.9,0,0.2
89.975,90,94,-7.599999904632568,1.9,0,0.2
89.995,90,94.5,-8.550000190734863,1.9,0,0.2
90.015,0,94,-44,1.9,0,0.2
90.035,0,93.5,-44,1.9,0,0.2
90.055,0,92,-44,1.9,0,0.2
90.075,0,90,-44,1.9,0,0.2
90.095,0,87,-44,1.9,0,0.2
90.115,0,83.5,-44,1.9,0,0.2
90.135,0,79,-44,1.9,0,0.2
90.155,0,73.5,-44,1.9,0,0.2
90.175,0,68,-44,1.9,0,0.2
90.195,0,62,-37.79999542236328,1.9,0,0.2
90.215,0,55.5,-25.449996948242188,1.9,0,0.2
90.235,0,48,-11.199996948242188,1.9,0,0.2
90.255,0,40.5,3.0500030517578125,1.9,0,0.2
90.275,0,33,17.299999237060547,1.9,0,0.2
90.295,0,25.5,31.549999237060547,1.9,0,0.2
90.315,0,19.5,22.950000762939453,1.9,0,0.2
90.335,0,15,11.5,1.9,0,0.2
90.355,0,11.5,-22.799999237060547,1.9,0,0.2
90.375,0,9.5,1.9500007629394531,1.9,0,0.2
90.395,0,8,-15.199999809265137,1.9,0,0.2
90.415,0,7.5,-14.25,1.9,0,0.2
90.435,0,6,28.600000381469727,1.9,0,0.2
90.455,0,5.5,-10.449999809265137,1.9,0,0.2
90.475,0,4,32.400001525878906,1.9,0,0.2
90.495,0,3.5,13.350000381469727,1.9,0,0.2
90.515,0,3,-5.699999809265137,1.9,0,0.2
90.535,0,2,-3.799999952316284,1.9,0,0.2
90.555,0,2,-3.799999952316284,1.9,0,0.2
90.575,0,2,-3.799999952316284,1.9,0,0.2
90.595,0,2,-3.799999952316284,1.9,0,0.2
90.615,0,3,-5.699999809265137,1.9,0,0.2
90.635,0,3,-5.699999809265137,1.9,0,0.2
90.655,0,3,-5.699999809265137,1.9,0,0.2
90.675,0,2.5,-4.75,1.9,0,0.2
90.695,0,2,-3.799999952316284,1.9,0,0.2
90.715,0,2.5,-4.75,1.9,0,0.2
90.735,0,3,-5.699999809265137,1.9,0,0.2
90.755,0,3,-5.699999809265137,1.9,0,0.2
90.775,0,3,-5.699999809265137,1.9,0,0.2
90.795,0,3,-5.699999809265137,1.9,0,0.2
90.815,0,3,-5.699999809265137,1.9,0,0.2
90.835,0,2.5,15.25,1.9,0,0.2
90.855,0,2,-3.799999952316284,1.9,0,0.2
90.875,0,2.5,-24.75,1.9,0,0.2
90.895,0,3,-5.699999809265137,1.9,0,0.2
90.915,0,2.5,15.25,1.9,0,0.2
90.935,0,2,-3.799999952316284,1.9,0,0.2
90.955,0,2,-3.799999952316284,1.9,0,0.2
90.975,0,2,-3.799999952316284,1.9,0,0.2
90.995,0,2,-3.799999952316284,1.9,0,0.2
91.015,0,2,-3.799999952316284,1.9,0,0.2
91.035,0,2,-3.799999952316284,1.9,0,0.2
91.055,0,2,-3.799999952316284,1.9,0,0.2
91.075,0,2,-3.799999952316284,1.9,0,0.2
91.095,0,2,-3.799999952316284,1.9,0,0.2
91.115,0,2,-3.799999952316284,1.9,0,0.2
91.135,0,3,-25.700000762939453,1.9,0,0.2
91.155,0,3,-5.699999809265137,1.9,0,0.2
91.175,0,3,-5.699999809265137,1.9,0,0.2
91.195,0,2.5,15.25,1.9,0,0.2
91.215,0,2,-3.799999952316284,1.9,0,0.2
91.235,0,2,-3.799999952316284,1.9,0,0.2
91.255,0,2,-3.799999952316284,1.9,0,0.2
91.275,0,2,-3.799999952316284,1.9,0,0.2
91.295,0,2,-3.799999952316284,1.9,0,0.2
91.315,0,3,-25.700000762939453,1.9,0,0.2
91.335,0,3,-5.699999809265137,1.9,0,0.2
91.355,0,3,-5.699999809265137,1.9,0,0.2
91.375,0,3,-5.699999809265137,1.9,0,0.2
91.395,0,2.5,15.25,1.9,0,0.2
91.415,0,2.5,15.25,1.9,0,0.2
91.435,0,2,16.200000762939453,1.9,0,0.2
91.455,0,2,-3.799999952316284,1.9,0,0.2
91.475,0,3,-25.700000762939453,1.9,0,0.2
91.495,0,3,-5.699999809265137,1.9,0,0.2
91.515,0,3,-5.699999809265137,1.9,0,0.2
91.535,0,2,-4.75,1.9,0,0.2
91.555,0,2,-3.799999952316284,1.9,0,0.2
91.575,0,2.5,-4.75,1.9,0,0.2
91.595,0,3,-5.699999809265137,1.9,0,0.2
91.615,0,2,16.200000762939453,1.9,0,0.2
91.635,0,2,-3.799999952316284,1.9,0,0.2
91.655,0,2.5,-24.75,1.9,0,0.2
91.675,0,3,-5.699999809265137,1.9,0,0.2
91.695,0,3.5,-6.650000095367432,1.9,0,0.2
91.715,0,3.5,-6.650000095367432,1.9,0,0.2
91.735,0,3.5,-6.650000095367432,1.9,0,0.2
91.755,0,3.5,-6.650000095367432,1.9,0,0.2
91.775,0,3,-5.699999809265137,1.9,0,0.2
91.795,0,3,-5.699999809265137,1.9,0,0.2
